"country_id","zone_id","district_id","name"
"180","3","20","Ак-Чишма"
"180","3","20","Тихоновка"
"180","3","25","Нижний Табын"
"180","3","22","Карабаш"
"180","3","20","Маметьево"
"180","3","20","Кителга"
"180","3","21","Маняуз"
"180","3","25","Тойгильдино"
"180","3","22","Подлесный"
"180","3","20","Кичуй"
"180","3","30","Нурлат"
"180","3","20","Кичучатово"
"180","3","20","Новоникольск"
"180","3","20","Кульшарипово"
"180","2",,"Апатиты"
"180","3",,"Кировск"
"180","3",,"Мончегорск"
"180","3",,"Оленегорск"
"180","3",,"Титан"
"180","3",,"Белореченский"
"180","3",,"Коашва"
"180","3","31","Ена"
"180","3",,"Ковдор"
"180","3",,"Высокий"
"180","3",,"Олений ручей"
"180","3",,"Кукисвумчорр"
"180","3",,"27 Километр"
"180","3",,"Аэропорт Апатиты"
"180","3",,"Кандалакша"
"180","3",,"Белое Море"
"180","3",,"Полярные Зори"
"180","3",,"Зеленоборский"
"180","3",,"Зареченск"
"180","3",,"Алакуртти"
"180","3","32","Умба"
"180","3",,"Африканда 2"
"180","3",,"Африканда"
"180","3",,"Зашеек"
"180","2",,"Архангельск"
"180","3","33","Большая Корзиха"
"180","3","33","Васьково"
"180","3",,"Новодвинск"
"180","3","33","Окулово"
"180","3",,"Северодвинск"
"180","3","33","Талаги"
"180","3","33","Зеленый Бор"
"180","3","33","Уемский"
"180","3","33","Луговой"
"180","3","33","Дорожник"
"180","3","33","Рикасиха"
"180","3",,"Зеленец"
"180","3","33","Исакогорка"
"180","3","33","Усть-Заостровская"
"180","3","33","Катунино"
"180","3","33","Беломорье"
"180","3","33","Большое Тойнокурье"
"180","3","33","Большие Карелы"
"180","3","33","Лайский Док"
"180","3","33","Хорьково"
"180","3","33","Малые Карелы"
"180","3","33","Малое Тойнокурье"
"180","3",,"Лесная речка"
"180","3",,"Цигломень"
"180","3",,"Дорожников"
"180","3","33","Любовское"
"180","2",,"Армавир"
"180","3","34","Отрадная"
"180","3","35","Успенское"
"180","3","36","Новокубанск"
"180","3","36","Большевик"
"180","3",,"ВНИИМК"
"180","3","35","Коноково"
"180","3","36","Прикубанский"
"180","3","36","Глубокий"
"180","3","37","Новоалексеевская"
"180","3","38","Красная Поляна"
"180","3","39","Отрадо-Кубанское"
"180","3",,"Веселый"
"180","3","35","Николаевская"
"180","3","35","Урупский"
"180","3","36","Советская"
"180","3","36","Новосельское"
"180","3","37","Михайловская"
"180","3",,"Гусаровское"
"180","3",,"Степной"
"180","3","36","Прогресс"
"180","3","36","Прочноокопская"
"180","3","39","Отрадо-Ольгинское"
"180","3","34","Малотенгинская"
"180","3",,"Старая Станица"
"180","3","35","Марьино"
"180","3","35","Заречный"
"180","3","35","Мичуринский"
"180","3","36","Восход"
"180","3","39","Венцы"
"180","3","36","Ляпино"
"180","3","36","Передовон"
"180","3","36","Бесскорбная"
"180","3","34","Надежная"
"180","3","37","Петропавловская"
"180","3",,"Юбилейный"
"180","3",,"Центральной Усадьбы"
"180","3","37","Комсомольский"
"180","3","35","Маламино"
"180","3","34","Удобная"
"180","3","34","Новоурупский"
"180","3","36","Роте-Фане"
"180","3","36","Мирской"
"180","3","36","Ковалевское"
